requirement_id,priority,owner,requirement,change_target,consumer,acceptance_criteria,verification_method,evidence,regression_protection,development_status,verification_status
NXT-EVD-001,P1,Evidence,Developer 자체검수 — Developer는 구현 완료 전 독립 Self Review를 수행한다. 확인: 1. Core→Starter dependency 0 2. Core Optional Provider implementation 0 3. Core Runtime pollution 0 4. Core simple utility wrapper 0 5. Owner-less capability 0 6. Consumer-less API/SPI 0 7. Wrapper-only Starter 0 8. Transaction ID E2E gap 0 9. CRUD/Paging/Search parity gap 0 10. JPA/JDBC/MyBatis gap 0 11. Health/Instance Operations gap 0 12. OIDC/SSO/Session gap 0 13. Object Storage gap 0 14. Event Schema gap 0 15. GraphQL gap 0 16. Generator impact g,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-EVD-002,P1,Evidence,이전 Runtime-only 항목 처리 — 직전 세션의 Runtime-only 10건을 PASS로 승계하지 않는다. 이번 Source 이동/보강 영향이 있으면 Harness/Config/Script를 갱신한다. 외부 환경이 필요한 항목은: - 상태 `미검증` - 환경 - 실행 명령 - 기대 결과 - 실패 기준 - 필요 Evidence 를 기록한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-QA-001,P0,QA Governance,"QA A 전체 전수검수 — Developer 완료 후 QA A는 **전체 Scope 100%**를 독립 검수한다. 샘플링, 대표 ID, 상위 Requirement 하나로 하위 일괄 PASS 금지. QA A 순서: Canonical → Architecture → Core/Foundation → Starter/Provider → Source → Consumer → Generator/Generated Domain → DB3 → Transaction/Security → Health/Operations → ADM/BZA/OpenAPI → Test/Harness → Runtime/Evidence → Repository Hygiene 각 Requirement마다: Requirement ID → Source Path/Symbol → Consumer → Call Path → Failure/Boundary → Test/Harness → Execution/Evidence → Judgement 를 남긴다. ---",See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-QA-002,P0,QA Governance,QA B 전체 전수검수 — QA B도 QA A와 **같은 전체 Scope를 100%** 독립 검수한다. QA A의 PASS/Evidence를 판정 근거로 상속하지 않는다. QA B 순서는 반대로 한다. Repository Hygiene → Runtime/Evidence → Test/Harness → ADM/BZA/OpenAPI → Health/Operations → Transaction/Security → DB3 → Generator/Generated Domain → Consumer → Source → Starter/Provider → Core/Foundation → Architecture → Canonical ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-QA-003,P0,QA Governance,QA A/B Cross Validation — A/B 완료 후 모든 Requirement ID를 교차대조한다. 반드시 산출: - A 판정 - B 판정 - A evidence - B evidence - 일치/불일치 - 불일치 원인 - 재개발 필요 여부 - 재검수 필요 여부 - 최종 QA 판단 대기 상태 규칙: - A PASS + B FAIL → 완료 금지 - A FAIL + B PASS → 완료 금지 - 한쪽 미검수 → 완료 금지 - 동일 generic evidence 반복 → 완료 금지 - Source 직접 open 없이 deep-review 완료 처리 금지 - Runtime 미실행 → 미검증 - Developer 보고만 근거로 PASS 금지 QA는 반드시 신규 추가 Requirement와 기존 Canonical Requirement를 함께 전수검수한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-QA-004,P0,QA Governance,"QA가 다시 확인할 Framework Fundamentals — QA A/B 모두 Canonical 목록과 별도로 다음 Fundamentals Sweep을 수행한다. Request/Response, Validation, Error, Paging, Sort/Search, Header, File, Idempotency, Rate Limit, OpenAPI, Generated Client. CRUD, Paging/Cursor, JDBC, MyBatis, JPA, Transaction, Lock, DB3, Timeout, Multi-datasource. Current User/Tenant/Role/Scope, OAuth2/JWT/OIDC/SSO, Secret/KMS/HSM, Masking, Audit. Date/Time, Decimal, ID, Serialization, Validation, Mapping. 단순 wrapper 여부. Timeout, Retry, CB, Idempotency, UNKNOWN, Reconcile, Multi-instance",See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-HO-001,P1,Handover,Developer 최종 산출물 — Developer 완료 시 반드시 Root-relative Overlay에 포함: - Source/SQL/API/Test/Config/Frontend/Script - `REVIEW_INDEX.md` - `REQUIREMENT_STATUS.csv` - `CPF_CHANGE_MANIFEST.csv` - `TEST_AND_EVIDENCE.md` - `OPEN_ISSUES.md` - `HANDOVER.md` - `CODEX_REVIEW_REQUEST.md` - `CPF_DELETE_MANIFEST.csv` - `CPF_DELETE_ONE_LINE.ps1.txt` - Apply one-line - Verify one-line - Package Manifest - SHA-256 - Runtime-only matrix - QA A/B 실행 요청서 또는 QA 인계 Section 현재 Canonical/Current 문서는 동일 경로를 갱신한다. 별도 Session/REV duplicate 문서를 ,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-PROG-001,P1,Execution Governance,실제 분모 기반 진행률 — 장시간 작업 중에는 작업을 멈추지 않고 진행률을 표시한다. 최소: - 전체 통합 진행률 - Core Slimming: 완료/전체 - Utility/Foundation: 완료/전체 - Starter Portfolio: 완료/전체 - Consumer: 완료/전체 - Generator: 완료/전체 - Test/Harness: 완료/전체 - Documentation: 완료/전체 - Hygiene/Delete Manifest: 완료/전체 - 발견 Gap / 수정 완료 / 남음 - Runtime-only 수량 - 현재 작업 영역 - 직전 보고 이후 완료한 일 - 다음 작업 새 Gap 발견 시 전체 분모를 늘린다. 인위적 % 고정 금지. 진행 보고는 종료점이 아니다. --- Developer는 다음 조건을 모두 만족할 때만 이번 신규 작업 개발 완료를 선언한다. - Core → Starter dependency = 0 - Core → Optional Provider implementation =,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-HYG-005,P0,Repository Hygiene,"Verification Tool Consumer 전수검수 — `cpf-tools/**`, `.github/workflows/**`의 검증·Gate·Helper Script를 현재 제품 기준으로 전수 Inventory한다. 대상: - `*.py` - `*.ps1` - `*.sh` - Gradle verification helper - 날짜/QA회차 이름의 verification directory - `final-*`, `qa38`, `qa39`, `r6*` 등 과거 캠페인 도구 - 일회성 migration/currentization/overlay helper 각 파일은 반드시 아래 중 하나로 판정한다. - `KEEP_CANONICAL_GATE` - `MERGE_INTO_CANONICAL_GATE` - `RENAME_CURRENT` - `REMOVE_CANDIDATE` Consumer 판정은 다음을 실제 검색한다. - GitHub Workflow - Gradle task - `verify-full-product.ps1` - 다른 script - ",See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-HYG-006,P0,Repository Hygiene,"Development Document Consolidation — 개발 관련 모든 문서를 최신 Source와 본 Request 기준으로 현행화한 뒤 문서 종류 자체를 최소화한다. Narrative Current Owner는 다음 7개를 기본으로 한다. 1. `CPF_CURRENT_WORK_REQUEST.md` 2. `REQUIREMENT_STATUS.csv` 3. `REVIEW_INDEX.md` 4. `TEST_AND_EVIDENCE.md` 5. `HANDOVER.md` 6. `CPF_CHANGE_MANIFEST.csv` 7. `CPF_DELETE_MANIFEST.csv` `CPF_REQUIREMENT_MATRIX.csv`, `CPF_SCENARIO_MATRIX.csv`, `current/**`의 대용량 Part는 Narrative 문서가 아니라 논리 Dataset으로 관리한다. 다음은 Current Owner에 내용이 흡수되면 제거한다. - 세션별 Handover - 세션별 Review Index - 세션별 Test/Evidence - 세션별 O",See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
