rank,review_id,priority,area,review_point,acceptance_criteria,minimum_evidence,user_mandatory,qa_a_status,qa_b_status,central_status,developer_rework_status,last_verified_sha,notes
849,CPF-RV-0849,P1,Upgrade/Compatibility,DB/App/Client rollback compatibility — 동시성·다중인스턴스·보안를 검증한다.,"DB/App/Client rollback compatibility: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0849; B=미검증
850,CPF-RV-0850,P1,Upgrade/Compatibility,DB/App/Client rollback compatibility — Runtime·Evidence·회귀를 검증한다.,DB/App/Client rollback compatibility: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0850; B=미검증
851,CPF-RV-0851,P1,Performance/Resource,N+1/Full scan/대량 메모리 적재 — 구현·Ownership·Consumer를 검증한다.,N+1/Full scan/대량 메모리 적재: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0851; B=미검증
852,CPF-RV-0852,P1,Performance/Resource,N+1/Full scan/대량 메모리 적재 — 정상·경계 동작를 검증한다.,N+1/Full scan/대량 메모리 적재: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0852; B=미검증
853,CPF-RV-0853,P1,Performance/Resource,N+1/Full scan/대량 메모리 적재 — 실패·부분실패·UNKNOWN를 검증한다.,N+1/Full scan/대량 메모리 적재: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0853; B=미검증
854,CPF-RV-0854,P1,Performance/Resource,N+1/Full scan/대량 메모리 적재 — 동시성·다중인스턴스·보안를 검증한다.,"N+1/Full scan/대량 메모리 적재: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0854; B=미검증
855,CPF-RV-0855,P1,Performance/Resource,N+1/Full scan/대량 메모리 적재 — Runtime·Evidence·회귀를 검증한다.,N+1/Full scan/대량 메모리 적재: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0855; B=미검증
856,CPF-RV-0856,P1,Performance/Resource,Thread pool/queue/rejection 정책 — 구현·Ownership·Consumer를 검증한다.,Thread pool/queue/rejection 정책: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0856; B=미검증
857,CPF-RV-0857,P1,Performance/Resource,Thread pool/queue/rejection 정책 — 정상·경계 동작를 검증한다.,Thread pool/queue/rejection 정책: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0857; B=미검증
858,CPF-RV-0858,P1,Performance/Resource,Thread pool/queue/rejection 정책 — 실패·부분실패·UNKNOWN를 검증한다.,Thread pool/queue/rejection 정책: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0858; B=미검증
859,CPF-RV-0859,P1,Performance/Resource,Thread pool/queue/rejection 정책 — 동시성·다중인스턴스·보안를 검증한다.,"Thread pool/queue/rejection 정책: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0859; B=미검증
860,CPF-RV-0860,P1,Performance/Resource,Thread pool/queue/rejection 정책 — Runtime·Evidence·회귀를 검증한다.,Thread pool/queue/rejection 정책: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0860; B=미검증
861,CPF-RV-0861,P1,Performance/Resource,DB/HTTP connection pool exhaustion — 구현·Ownership·Consumer를 검증한다.,DB/HTTP connection pool exhaustion: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0861; B=미검증
862,CPF-RV-0862,P1,Performance/Resource,DB/HTTP connection pool exhaustion — 정상·경계 동작를 검증한다.,DB/HTTP connection pool exhaustion: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0862; B=미검증
863,CPF-RV-0863,P1,Performance/Resource,DB/HTTP connection pool exhaustion — 실패·부분실패·UNKNOWN를 검증한다.,DB/HTTP connection pool exhaustion: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0863; B=미검증
864,CPF-RV-0864,P1,Performance/Resource,DB/HTTP connection pool exhaustion — 동시성·다중인스턴스·보안를 검증한다.,"DB/HTTP connection pool exhaustion: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0864; B=미검증
865,CPF-RV-0865,P1,Performance/Resource,DB/HTTP connection pool exhaustion — Runtime·Evidence·회귀를 검증한다.,DB/HTTP connection pool exhaustion: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0865; B=미검증
866,CPF-RV-0866,P1,Performance/Resource,GC/memory/file descriptor leak — 구현·Ownership·Consumer를 검증한다.,GC/memory/file descriptor leak: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0866; B=미검증
867,CPF-RV-0867,P1,Performance/Resource,GC/memory/file descriptor leak — 정상·경계 동작를 검증한다.,GC/memory/file descriptor leak: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0867; B=미검증
868,CPF-RV-0868,P1,Performance/Resource,GC/memory/file descriptor leak — 실패·부분실패·UNKNOWN를 검증한다.,GC/memory/file descriptor leak: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0868; B=미검증
869,CPF-RV-0869,P1,Performance/Resource,GC/memory/file descriptor leak — 동시성·다중인스턴스·보안를 검증한다.,"GC/memory/file descriptor leak: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0869; B=미검증
870,CPF-RV-0870,P1,Performance/Resource,GC/memory/file descriptor leak — Runtime·Evidence·회귀를 검증한다.,GC/memory/file descriptor leak: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0870; B=미검증
871,CPF-RV-0871,P1,Performance/Resource,대표 Online/Batch 성능 baseline — 구현·Ownership·Consumer를 검증한다.,대표 Online/Batch 성능 baseline: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0871; B=미검증
872,CPF-RV-0872,P1,Performance/Resource,대표 Online/Batch 성능 baseline — 정상·경계 동작를 검증한다.,대표 Online/Batch 성능 baseline: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0872; B=미검증
873,CPF-RV-0873,P1,Performance/Resource,대표 Online/Batch 성능 baseline — 실패·부분실패·UNKNOWN를 검증한다.,대표 Online/Batch 성능 baseline: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0873; B=미검증
874,CPF-RV-0874,P1,Performance/Resource,대표 Online/Batch 성능 baseline — 동시성·다중인스턴스·보안를 검증한다.,"대표 Online/Batch 성능 baseline: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0874; B=미검증
875,CPF-RV-0875,P1,Performance/Resource,대표 Online/Batch 성능 baseline — Runtime·Evidence·회귀를 검증한다.,대표 Online/Batch 성능 baseline: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0875; B=미검증
876,CPF-RV-0876,P0,Testing/Mutation/Chaos,Unit→Integration→Runtime test 연결 — 구현·Ownership·Consumer를 검증한다.,Unit→Integration→Runtime test 연결: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0876; B=미검증
877,CPF-RV-0877,P0,Testing/Mutation/Chaos,Unit→Integration→Runtime test 연결 — 정상·경계 동작를 검증한다.,Unit→Integration→Runtime test 연결: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0877; B=미검증
878,CPF-RV-0878,P0,Testing/Mutation/Chaos,Unit→Integration→Runtime test 연결 — 실패·부분실패·UNKNOWN를 검증한다.,Unit→Integration→Runtime test 연결: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0878; B=미검증
879,CPF-RV-0879,P0,Testing/Mutation/Chaos,Unit→Integration→Runtime test 연결 — 동시성·다중인스턴스·보안를 검증한다.,"Unit→Integration→Runtime test 연결: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0879; B=미검증
880,CPF-RV-0880,P0,Testing/Mutation/Chaos,Unit→Integration→Runtime test 연결 — Runtime·Evidence·회귀를 검증한다.,Unit→Integration→Runtime test 연결: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0880; B=미검증
881,CPF-RV-0881,P0,Testing/Mutation/Chaos,Mutation으로 false-green 조건 제거 — 구현·Ownership·Consumer를 검증한다.,Mutation으로 false-green 조건 제거: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0881; B=미검증
882,CPF-RV-0882,P0,Testing/Mutation/Chaos,Mutation으로 false-green 조건 제거 — 정상·경계 동작를 검증한다.,Mutation으로 false-green 조건 제거: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0882; B=미검증
883,CPF-RV-0883,P0,Testing/Mutation/Chaos,Mutation으로 false-green 조건 제거 — 실패·부분실패·UNKNOWN를 검증한다.,Mutation으로 false-green 조건 제거: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0883; B=미검증
884,CPF-RV-0884,P0,Testing/Mutation/Chaos,Mutation으로 false-green 조건 제거 — 동시성·다중인스턴스·보안를 검증한다.,"Mutation으로 false-green 조건 제거: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0884; B=미검증
885,CPF-RV-0885,P0,Testing/Mutation/Chaos,Mutation으로 false-green 조건 제거 — Runtime·Evidence·회귀를 검증한다.,Mutation으로 false-green 조건 제거: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0885; B=미검증
886,CPF-RV-0886,P0,Testing/Mutation/Chaos,DB down/HTTP timeout/Broker down 장애 주입 — 구현·Ownership·Consumer를 검증한다.,DB down/HTTP timeout/Broker down 장애 주입: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0886; B=미검증
887,CPF-RV-0887,P0,Testing/Mutation/Chaos,DB down/HTTP timeout/Broker down 장애 주입 — 정상·경계 동작를 검증한다.,DB down/HTTP timeout/Broker down 장애 주입: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0887; B=미검증
888,CPF-RV-0888,P0,Testing/Mutation/Chaos,DB down/HTTP timeout/Broker down 장애 주입 — 실패·부분실패·UNKNOWN를 검증한다.,DB down/HTTP timeout/Broker down 장애 주입: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0888; B=미검증
889,CPF-RV-0889,P0,Testing/Mutation/Chaos,DB down/HTTP timeout/Broker down 장애 주입 — 동시성·다중인스턴스·보안를 검증한다.,"DB down/HTTP timeout/Broker down 장애 주입: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0889; B=미검증
890,CPF-RV-0890,P0,Testing/Mutation/Chaos,DB down/HTTP timeout/Broker down 장애 주입 — Runtime·Evidence·회귀를 검증한다.,DB down/HTTP timeout/Broker down 장애 주입: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0890; B=미검증
891,CPF-RV-0891,P0,Testing/Mutation/Chaos,disk-full/process-kill/network partition chaos — 구현·Ownership·Consumer를 검증한다.,disk-full/process-kill/network partition chaos: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0891; B=미검증
892,CPF-RV-0892,P0,Testing/Mutation/Chaos,disk-full/process-kill/network partition chaos — 정상·경계 동작를 검증한다.,disk-full/process-kill/network partition chaos: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0892; B=미검증
893,CPF-RV-0893,P0,Testing/Mutation/Chaos,disk-full/process-kill/network partition chaos — 실패·부분실패·UNKNOWN를 검증한다.,disk-full/process-kill/network partition chaos: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0893; B=미검증
894,CPF-RV-0894,P0,Testing/Mutation/Chaos,disk-full/process-kill/network partition chaos — 동시성·다중인스턴스·보안를 검증한다.,"disk-full/process-kill/network partition chaos: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0894; B=미검증
895,CPF-RV-0895,P0,Testing/Mutation/Chaos,disk-full/process-kill/network partition chaos — Runtime·Evidence·회귀를 검증한다.,disk-full/process-kill/network partition chaos: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0895; B=미검증
896,CPF-RV-0896,P0,Testing/Mutation/Chaos,flaky/order-dependent/shared-state test 제거 — 구현·Ownership·Consumer를 검증한다.,flaky/order-dependent/shared-state test 제거: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0896; B=미검증
897,CPF-RV-0897,P0,Testing/Mutation/Chaos,flaky/order-dependent/shared-state test 제거 — 정상·경계 동작를 검증한다.,flaky/order-dependent/shared-state test 제거: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0897; B=미검증
898,CPF-RV-0898,P0,Testing/Mutation/Chaos,flaky/order-dependent/shared-state test 제거 — 실패·부분실패·UNKNOWN를 검증한다.,flaky/order-dependent/shared-state test 제거: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0898; B=미검증
899,CPF-RV-0899,P0,Testing/Mutation/Chaos,flaky/order-dependent/shared-state test 제거 — 동시성·다중인스턴스·보안를 검증한다.,"flaky/order-dependent/shared-state test 제거: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0899; B=미검증
900,CPF-RV-0900,P0,Testing/Mutation/Chaos,flaky/order-dependent/shared-state test 제거 — Runtime·Evidence·회귀를 검증한다.,flaky/order-dependent/shared-state test 제거: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0900; B=미검증
901,CPF-RV-0901,P1,Code Quality/Javadoc,한글 중심 class/interface Javadoc 품질 — 구현·Ownership·Consumer를 검증한다.,한글 중심 class/interface Javadoc 품질: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,FAIL,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=재확인 필요; A_EVID=SPECIAL1000-CPF-RV-0901; B=FAIL; B_FINDING=QA-B-1000-NEW-006
902,CPF-RV-0902,P1,Code Quality/Javadoc,한글 중심 class/interface Javadoc 품질 — 정상·경계 동작를 검증한다.,한글 중심 class/interface Javadoc 품질: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,FAIL,재확인 필요,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0902; B=재확인 필요
