sequence,id,source_set,area,work_package,severity,title,setup,expected,owner_module,source_or_gate_paths,checkpoint_review_status,development_status,verification_status,environment,recommended_command,required_evidence,remaining_action,completion_rule
101,CPF-QA-EXEC-174,BASE,GEN,,,LNG remove-regenerate,LNG 삭제 후 동일 입력 재생성,normalized parity,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
102,CPF-QA-EXEC-175,BASE,GEN,,,LNG runtime-agent,LNG instance registration/change apply,RTC 계약 준수,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
103,CPF-QA-EXEC-176,BASE,GEN,,,ING create,ING 임의 domain 생성,하드코딩 없는 표준 tree,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
104,CPF-QA-EXEC-177,BASE,GEN,,,ING bootstrap,ING DB bootstrap,canonical template,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
105,CPF-QA-EXEC-178,BASE,GEN,,,ING build,ING standalone clean test bootJar bootWar,artifact contract 성공,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
106,CPF-QA-EXEC-179,BASE,GEN,,,ING runtime,ING local/remote API 실행,header/error/idempotency/db 정상,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
107,CPF-QA-EXEC-180,BASE,GEN,,,ING remove-regenerate,ING 삭제 후 동일 입력 재생성,normalized parity,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
108,CPF-QA-EXEC-181,BASE,GEN,,,ING runtime-agent,ING instance registration/change apply,RTC 계약 준수,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
109,CPF-QA-EXEC-182,BASE,SEC-HYG,,,Secret scan,test secret commit,CI 차단,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
110,CPF-QA-EXEC-183,BASE,SEC-HYG,,,Critical dependency,취약 dependency fixture,release 차단,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,미검증,Multi-instance,2개 이상 Instance를 기동하고 fault/kill/rejoin 시나리오 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
111,CPF-QA-EXEC-184,BASE,SEC-HYG,,,Unpinned workflow,mutable action tag,security gate 차단,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
112,CPF-QA-EXEC-185,BASE,SEC-HYG,,,Audit tamper,중간 audit row 변경,chain failure alert,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
113,CPF-QA-EXEC-186,BASE,SEC-HYG,,,PII log,민감 payload error,원문 0,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
114,CPF-QA-EXEC-187,BASE,SEC-HYG,,,Zip bomb,고압축 archive,차단,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
115,CPF-QA-EXEC-188,BASE,SEC-HYG,,,Path traversal,../ 및 symlink,root 밖 접근 차단,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
116,CPF-QA-EXEC-189,BASE,SEC-HYG,,,OIDC invalid issuer,다른 issuer token,거부,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
117,CPF-QA-EXEC-190,BASE,SEC-HYG,,,JWT retired key,grace 후 old key token,거부,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
118,CPF-QA-EXEC-191,BASE,SEC-HYG,,,Break-glass misuse,scope/TTL 밖,거부·alert,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
119,CPF-QA-EXEC-192,BASE,SEC-HYG,,,Metric cardinality,고유 ID label 대량,보호,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
120,CPF-QA-EXEC-193,BASE,SEC-HYG,,,Log spool full,remote down+disk full,명시적 loss/backpressure alert,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
121,CPF-QA-EXEC-194,BASE,SEC-HYG,,,Incident flow,critical alert,incident→runbook→audit,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
122,CPF-QA-EXEC-195,BASE,SEC-HYG,,,Cleanup dry-run,dirty WIP repo,삭제 없이 preview,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
123,CPF-QA-EXEC-196,BASE,SEC-HYG,,,Cleanup apply,approved manifest,allowlist만 삭제,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
124,CPF-QA-EXEC-197,BASE,SEC-HYG,,,Cleanup rollback,apply 후 restore,hash 복구,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
125,CPF-QA-EXEC-198,BASE,SEC-HYG,,,Cleanup repeat,apply 2회,안전 no-op,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
126,CPF-QA-EXEC-199,BASE,SEC-HYG,,,Stale evidence,없는 파일 참조,link gate 실패,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
127,CPF-QA-EXEC-200,BASE,SEC-HYG,,,Dead SQL,consumer 없는 query,orphan gate 실패,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
128,CPF-QA-EXEC-201,BASE,SEC-HYG,,,Dead public SPI,consumer/test 없는 interface,quality gate 실패,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,보안 Guard·Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Secret Provider/Browser/Runtime 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
129,CPF-QA-EXEC-202,DELTA03,FND,WP00,,최신 SHA CI Required Check,"clean checkout of 9fa4bb0, Java25, Gradle9.1, Node/pwsh",정확한 SHA에 모든 Required Check가 생성·성공하고 미실행 Check가 없다.,CPF 전체,.github/workflows/cpf-final-source-gates.yml | cpf-tools/scripts/check-enterprise-source-closure.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,Gate/Workflow 변경 포함,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",exact-SHA CI 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
130,CPF-QA-EXEC-203,DELTA03,FND,WP00,,문서 기준 SHA 일치,Current/Next/Matrix/Handover/Ledger/Evidence index,최신 SHA 9fa4bb0으로 일치하고 과거 Overlay를 현재 PASS로 참조하지 않는다.,CPF 전체,.github/workflows/cpf-final-source-gates.yml | cpf-tools/scripts/check-enterprise-source-closure.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,Gate/Workflow 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",exact-SHA CI 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
131,CPF-QA-EXEC-204,DELTA03,FND,WP00,,한 줄 Evidence 거부 Gate,의도적으로 content=PASS만 있는 evidence fixture,명령·환경·시간·출력·redaction 없는 Evidence는 FAIL 처리된다.,CPF 전체,.github/workflows/cpf-final-source-gates.yml | cpf-tools/scripts/check-enterprise-source-closure.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,Gate/Workflow 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",exact-SHA CI 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
132,CPF-QA-EXEC-205,DELTA03,FND,WP00,,"기존 1,214 Inventory 재판정",기존 CSV + 최신 repo,"누락 0, 중복 root cause 식별, 허용 상태만 사용한다.",CPF 전체,.github/workflows/cpf-final-source-gates.yml | cpf-tools/scripts/check-enterprise-source-closure.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,Gate/Workflow 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",exact-SHA CI 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
133,CPF-QA-EXEC-206,DELTA03,FND,WP00,,기존 201 Scenario 연속 실행,기존 scenario CSV + delta scenario CSV,미실행은 미검증이며 PASS 위장 0.,CPF 전체,.github/workflows/cpf-final-source-gates.yml | cpf-tools/scripts/check-enterprise-source-closure.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,Gate/Workflow 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",exact-SHA CI 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
134,CPF-QA-EXEC-207,DELTA03,HYG,WP15,,중간 Overlay 산출물 정리,clean clone + current docs,"Current 정본 최소화, 필요한 archive만 보존, 제품 파일 오삭제 0.",CPF 전체,cpf-tools/scripts/check-enterprise-source-closure.ps1 | .github/workflows/cpf-final-source-gates.yml,검토 완료,Hygiene Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",최신 전체 Worktree에서 재실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
135,CPF-QA-EXEC-208,DELTA03,LOCAL,WP02,,Local Web minimal 기동,ADM 인증·기본 운영 API만 활성,"불필요 모듈 미기동, 정상 종료, 포트 충돌 0",cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
136,CPF-QA-EXEC-209,DELTA03,LOCAL,WP02,,Local Web standard 기동,ADM/BZA/Gateway/1 Domain,1 JVM/1 HTTP Port에서 route와 보안 계약 정상,cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
137,CPF-QA-EXEC-210,DELTA03,LOCAL,WP02,,Local Web full 기동,모든 선택 Web 모듈,중복 Bean·TransactionManager·route 충돌 0,cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
138,CPF-QA-EXEC-211,DELTA03,LOCAL,WP02,,Local 내부 호출,동일 JVM 두 업무 Facade,"HTTP loopback 없이 Local Facade, 동일 Header/Error/Trace",cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
